player_id,player_name,player_display_name,position,position_group,recent_team,total_fantasy_points,total_fantasy_points_ppr
00-0034857,J.Allen,Josh Allen,QB,QB,BUF,458.8,458.8
00-0033280,C.McCaffrey,Christian McCaffrey,RB,RB,SF,394.3,480.3
00-0034796,L.Jackson,Lamar Jackson,QB,QB,BAL,384.88,385.88
00-0033077,D.Prescott,Dak Prescott,QB,QB,DAL,373.46,373.46
00-0036389,J.Hurts,Jalen Hurts,QB,QB,PHI,371.32,371.32
00-0033873,P.Mahomes,Patrick Mahomes,QB,QB,KC,358.36,358.36
00-0036264,J.Love,Jordan Love,QB,QB,GB,355.9,355.9
00-0037834,B.Purdy,Brock Purdy,QB,QB,SF,343.96,343.96
00-0033106,J.Goff,Jared Goff,QB,QB,DET,338.88,338.88
00-0034855,B.Mayfield,Baker Mayfield,QB,QB,TB,324.6,324.6
00-0039163,C.Stroud,C.J. Stroud,QB,QB,HOU,304.98,305.98
00-0036212,T.Tagovailoa,Tua Tagovailoa,QB,QB,MIA,284.82,284.82
00-0036358,C.Lamb,CeeDee Lamb,WR,WR,DAL,281.7,425.7
00-0033040,T.Hill,Tyreek Hill,WR,WR,MIA,269.6,393.6
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,265.78,265.78
00-0036971,T.Lawrence,Trevor Lawrence,QB,QB,JAX,262.54,262.54
00-0029263,R.Wilson,Russell Wilson,QB,QB,DEN,256.9,256.9
00-0037077,S.Howell,Sam Howell,QB,QB,WAS,256.54,257.54
00-0031687,R.Mostert,Raheem Mostert,RB,RB,MIA,245.7,271.7
00-0036963,A.St. Brown,Amon-Ra St. Brown,WR,WR,DET,245.5,386.5
00-0031280,D.Carr,Derek Carr,QB,QB,NO,241.12,241.12
00-0036355,J.Herbert,Justin Herbert,QB,QB,LAC,233.16,234.16
00-0036945,J.Fields,Justin Fields,QB,QB,CHI,230.18,230.18
00-0037840,K.Williams,Kyren Williams,RB,RB,LA,230,263
00-0039139,J.Gibbs,Jahmyr Gibbs,RB,RB,DET,229.9,292.9
00-0031408,M.Evans,Mike Evans,WR,WR,TB,229,319
00-0037256,R.White,Rachaad White,RB,RB,TB,226.5,295.5
00-0030565,G.Smith,Geno Smith,QB,QB,SEA,226.26,227.26
00-0035685,D.Montgomery,David Montgomery,RB,RB,DET,226,248
00-0036973,T.Etienne,Travis Etienne,RB,RB,JAX,224.4,282.4
00-0037197,I.Pacheco,Isiah Pacheco,RB,RB,KC,223.2,279.2
00-0032764,D.Henry,Derrick Henry,RB,RB,TEN,218.66,246.66
00-0039075,P.Nacua,Puka Nacua,WR,WR,LA,217.4,331.4
00-0033897,J.Mixon,Joe Mixon,RB,RB,CIN,215,267
00-0038120,B.Hall,Breece Hall,RB,RB,NYJ,214.5,290.5
00-0037248,J.Cook,James Cook,RB,RB,BUF,205.3,257.3
